feature,selected
time_in_hospital,True
num_lab_procedures,True
num_procedures,True
num_medications,True
number_outpatient,True
number_emergency,True
number_inpatient,True
number_diagnoses,True
age_encoded,False
race,True
gender,True
admission_type_id,True
discharge_disposition_id,True
admission_source_id,True
change,False
diabetesMed,True
diag_1_grouped,True
metformin,True
repaglinide,False
nateglinide,True
chlorpropamide,False
glimepiride,False
acetohexamide,False
glipizide,False
glyburide,True
tolbutamide,False
pioglitazone,True
rosiglitazone,False
acarbose,False
miglitol,True
troglitazone,False
tolazamide,True
examide,True
citoglipton,True
insulin,False
glyburide-metformin,True
glipizide-metformin,True
glimepiride-pioglitazone,True
metformin-rosiglitazone,True
metformin-pioglitazone,True
