feature,mi_score,selected
glimepiride,0.018179925580828815,True
acarbose,0.01602690395230888,True
number_inpatient,0.015877826283364982,True
nateglinide,0.014892797449911344,True
diabetesMed,0.014337549064468158,True
glyburide-metformin,0.013790766352129058,True
race,0.013715179480622286,True
miglitol,0.01139831211687703,True
change,0.011369419836273709,True
metformin,0.01053347472835342,True
repaglinide,0.009842007647723916,True
glyburide,0.009675572831588042,True
pioglitazone,0.00959148641894747,True
glipizide,0.009418608132659267,True
chlorpropamide,0.009047508081010847,True
admission_source_id,0.008755128401706003,True
discharge_disposition_id,0.008509857671052501,True
gender,0.008426825435031482,True
rosiglitazone,0.008357495144767357,True
number_diagnoses,0.005397656718435284,True
insulin,0.005356960590479076,True
number_emergency,0.004600518826819,True
age_encoded,0.0033045250447121255,True
number_outpatient,0.0031789450756545268,True
num_procedures,0.001974442648631669,True
diag_1_grouped,0.0018625703165768837,True
time_in_hospital,0.0017763630044247414,True
num_medications,0.0017603579093461441,True
tolazamide,0.0010443189334716774,False
citoglipton,0.0009461200412022031,False
num_lab_procedures,0.0009194383230006764,False
glimepiride-pioglitazone,0.0007055584510085033,False
examide,0.0006503103285520062,False
glipizide-metformin,0.0004614477692532759,False
admission_type_id,0.000345713569338324,False
metformin-pioglitazone,0.00012923421150046188,False
acetohexamide,0.0,False
tolbutamide,0.0,False
troglitazone,0.0,False
metformin-rosiglitazone,0.0,False
