feature,ranking,confirmed,tentative,selected
time_in_hospital,1,True,False,True
num_lab_procedures,1,True,False,True
num_procedures,1,True,False,True
num_medications,1,True,False,True
number_outpatient,1,True,False,True
number_emergency,1,True,False,True
number_inpatient,1,True,False,True
number_diagnoses,1,True,False,True
age_encoded,1,True,False,True
race,1,True,False,True
admission_type_id,1,True,False,True
discharge_disposition_id,1,True,False,True
change,1,True,False,True
admission_source_id,1,True,False,True
diabetesMed,1,True,False,True
diag_1_grouped,1,True,False,True
pioglitazone,1,True,False,True
metformin,1,True,False,True
glipizide,1,True,False,True
glimepiride,1,True,False,True
insulin,1,True,False,True
glyburide,2,False,False,False
rosiglitazone,3,False,False,False
gender,4,False,False,False
repaglinide,4,False,False,False
glyburide-metformin,6,False,False,False
nateglinide,7,False,False,False
acarbose,7,False,False,False
chlorpropamide,9,False,False,False
miglitol,10,False,False,False
tolazamide,11,False,False,False
glipizide-metformin,12,False,False,False
tolbutamide,13,False,False,False
acetohexamide,17,False,False,False
troglitazone,17,False,False,False
citoglipton,17,False,False,False
examide,17,False,False,False
glimepiride-pioglitazone,17,False,False,False
metformin-rosiglitazone,17,False,False,False
metformin-pioglitazone,17,False,False,False
