algorithm,features_selected_count,features_discarded_count,total_features_engineered,encoded_features_selected,encoded_features_total,accuracy,precision_0,recall_0,f1_score_0,precision_1,recall_1,f1_score_1
Baseline,40,0,40,40,40,0.44041609300902557,0.8581623550401427,0.4423496953672836,0.5837821436698779,0.088414921,0.4252146407591505,0.14639079029247043
Chi-Squared,24,16,40,24,40,0.6091479271837235,0.9070000836330183,0.6233475112081849,0.73888605,0.14384635484713876,0.4975146859466787,0.22316813621161447
Boruta,21,19,40,21,40,0.5050226913466932,0.8903664602578418,0.5041384067134154,0.643766744,0.11608606557377049,0.5119746949841844,0.18925916645786353
Mutual_Information,24,16,40,24,40,0.6268930702156953,0.9069842551473557,0.6456489251638119,0.7543229359030319,0.14683088845834485,0.47943967464979664,0.22481195041847654
RFE_SVM,24,16,40,24,40,0.20468104635153742,0.8725693007860985,0.12122082998045752,0.2128690386071158,0.11079446318483192,0.8608224130140081,0.19632091513371464
SFS_Forward,24,16,40,24,40,0.5043088062821885,0.9010552711315432,0.49568915967352567,0.6395491119433424,0.12609561752988047,0.5720741075463173,0.20664327103566474
SBS_Forward,24,16,40,24,40,0.3726480036714089,0.8518160475072504,0.354523508449247,0.5006696700353098,0.09215844785772029,0.5151378219611388,0.1563464307755606
MIDTR_Selector,19,21,40,19,40,0.3959512518484524,0.8564458140729327,0.38337739970111506,0.529659334550941,0.09261608728749049,0.4948034342521464,0.1560273582217156
MSFS_Selector,14,26,40,14,40,0.5159859262658711,0.8756176358798936,0.5296585814461432,0.6600530047990831,0.09948277759436558,0.40849525530953457,0.16
RFECV_SVM,33,7,40,33,40,0.3807047065422467,0.8525030197288954,0.365099436716864,0.5112479375427582,0.09161184210526316,0.5033890646181653,0.15501287135601474
L1_Lasso_SVM,32,8,40,32,40,0.44041609300902557,0.8581623550401427,0.4423496953672836,0.5837821436698779,0.08841492060509255,0.4252146407591505,0.14639079029247043
RandomForest_Importances,20,20,40,20,40,0.39426852276783436,0.8554682468117996,0.381710541441545,0.5278804499026271,0.09208305199189737,0.4929959331224582,0.1551809970841334
Permutation_Importance_RF,28,12,40,28,40,0.5977767579419714,0.9064797401265173,0.6094953442924474,0.7288974429474842,0.14141286490585114,0.5056484410302756,0.22101520837448152
Spearman_Filter,4,36,40,4,40,0.6423945744735098,0.9056323724709007,0.6663409587308886,0.7677737673432895,0.14757709251101322,0.45413465883416176,0.22276404743433448
XGBoost_Importance,20,20,40,20,40,0.4118096986385192,0.8571950773729743,0.40435682262329004,0.549502050380785,0.09128376008418099,0.4704021690013556,0.15289711390174046
